Time,RE001.EHN,RE002.EHN,RE003.EHN,RE004.EHN,RE005.EHN,RE001.EHE,RE002.EHE,RE003.EHE,RE004.EHE,RE005.EHE
-1.0,0.0116082719647,0.00395011880202,-0.00833665560354,-0.00658064543647,0.00755248979824,0.00624075507451,-0.0070036483726,-0.0063459751733,0.00284328342897,0.0055441528082
-0.998,0.013535340306,0.00403732604991,-0.00834414494101,-0.00696220607711,0.00783344698132,0.00642298933574,-0.00778732428912,-0.00653881188523,0.00292692171052,0.00546915918119
-0.996,0.0154710199097,0.00411207660831,-0.00834987427729,-0.00726077507008,0.00806520999475,0.00659678332272,-0.0085026513652,-0.00676529209319,0.00296027254489,0.00536248436879
-0.994,0.0173853514179,0.00417919190678,-0.00835472623725,-0.00747458016533,0.0082465190374,0.00675633179247,-0.00913820263518,-0.00702218714189,0.00294361532324,0.00522458742336
-0.992,0.0192477153158,0.00424319387427,-0.00835857039766,-0.0076034242307,0.00837658371913,0.00689597555585,-0.00968349857357,-0.00730486508748,0.00287760786692,0.00505681219836
-0.99,0.0210273221101,0.00430820995575,-0.00836030307809,-0.00764865926517,0.00845506439258,0.00701036798904,-0.0101291755874,-0.00760736946448,0.00276330254468,0.00486143109279
-0.988,0.0226936966458,0.00437789240325,-0.00835791195904,-0.00761312677306,0.00848204507019,0.00709462345834,-0.0104671378935,-0.0079225299888,0.00260217530967,0.00464163434135
-0.986,0.0242171490162,0.00445535239893,-0.00834856126296,-0.00750106893374,0.00845800027116,0.00714444369721,-0.0106906928444,-0.00824210328542,0.00239616333697,0.00440146082083
-0.984,0.0255692256217,0.00454310978304,-0.00832869344589,-0.00731801504983,0.00838375711272,0.00715621909812,-0.0107946692384,-0.00855694119059,0.00214770633424,0.00414567228199
-0.982,0.0267231349664,0.00464305915481,-0.00829414391243,-0.00707064702797,0.00826045279728,0.00712710305326,-0.0107755177804,-0.00885718392863,0.0018597856518,0.00387957899094
-0.98,0.0276541436509,0.0047564527106,-0.00824026597153,-0.00676664655072,0.00808948669403,0.00705505895166,-0.0106313928305,-0.00913247533214,0.00153595398527,0.00360882931474
-0.978,0.0283399387318,0.00488389932923,-0.00816206385286,-0.00641452560585,0.00787246572942,0.00693888108486,-0.0103622147678,-0.00937219704601,0.00118034722558,0.00333917763007
-0.976,0.0287609532268,0.00502537823597,-0.00805433189144,-0.00602344149535,0.00761114195028,0.00677819222864,-0.00996971240555,-0.00956571818363,0.000797669706179,0.00307624386236
-0.974,0.0289006521471,0.00518026434552,-0.0079117978588,-0.00560299746739,0.00730734195821,0.00657342169832,-0.00945744459965,-0.00970265617789,0.000393145530572,0.00282527483836
-0.972,0.0287457771055,0.00534736141606,-0.00772926795023,-0.00516303062549,0.00696288931429,0.0063257679656,-0.00883079934813,-0.00977314370488,-2.75678157754e-05,0.00259091404217
-0.97,0.0282865482922,0.00552493868825,-0.00750177035177,-0.00471338959558,0.00657952272685,0.00603714944238,-0.00809696745156,-0.00976809574496,-0.000458502131372,0.00237698394033
-0.968,0.0275168233754,0.00571076685451,-0.00722469386087,-0.00426370538727,0.00615881457995,0.00571014598805,-0.00726488664883,-0.00967947026809,-0.000893530131851,0.00218628478297
-0.966,0.0264342135733,0.00590214995345,-0.00689391790611,-0.0038231598618,0.00570209585968,0.00534793246364,-0.00634515163994,-0.00950051578989,-0.0013265336671,0.00202041563605
-0.964,0.0250401576576,0.00609595090618,-0.00650593058662,-0.00340025721621,0.00521039449398,0.00495420466776,-0.00534988601968,-0.00922599910947,-0.00175157316498,0.00187962628576
-0.962,0.0233399549383,0.00628860963776,-0.00605793198853,-0.00300260496374,0.00468439426117,0.00453309756499,-0.00429257399349,-0.00885240675751,-0.00216304277359,0.00176271098058
-0.96,0.0213427583512,0.00647615386308,-0.00554792085824,-0.0026367120003,0.00412442059905,0.0040890959488,-0.00318785254056,-0.00837811386692,-0.00255579820234,0.00166695531589
-0.958,0.0190615287208,0.00665420361067,-0.00497476348892,-0.00230781231076,0.00353045789252,0.00362693841012,-0.00205126781222,-0.00780351420475,-0.00292524865585,0.00158814529017
